years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2052,2062126.0,1331823.0,730303.0,3629922.0,8660397.0,7778586.0,36145.0,18099.0,42836471.0,174623594.0,0.65
2053,9208176.0,8296642.0,911534.0,3331938.0,8893309.0,7808484.0,122446.0,23164.0,42854570.0,606197669.0,0.2
2054,5985954.0,1343174.0,4642780.0,2889306.0,9186819.0,7837268.0,65238.0,118282.0,42877734.0,319868655.0,0.8
2055,23119700.0,21962618.0,1157083.0,2448891.0,9526771.0,7873511.0,269876.0,29748.0,42996017.0,1343347568.0,0.35
2056,19207980.0,9875353.0,9332628.0,2164771.0,9482415.0,7937465.0,278917.0,241775.0,43025765.0,1387980437.0,0.35
2057,20440323.0,10720889.0,9719434.0,1846543.0,9493636.0,7972237.0,305733.0,249875.0,43267540.0,1522318737.0,0.2
2058,13814752.0,2353605.0,11461147.0,1527763.0,9470602.0,8013817.0,118430.0,295338.0,43517415.0,586430288.0,0.2
2059,4469550.0,25875.0,4443675.0,1229209.0,9621975.0,8044917.0,1311.0,114403.0,43812753.0,369593.0,0.2
2060,79460.0,30073.0,49386.0,846380.0,9958328.0,8091052.0,1578.0,1266.0,43927156.0,1631280.0,0.2
2061,79343.0,23522.0,55821.0,626204.0,10128354.0,8140599.0,1241.0,1525.0,43928422.0,0.0,0.8
2062,303556.0,282670.0,20886.0,547321.0,10163571.0,8183981.0,3602.0,566.0,43929947.0,11807770.0,0.2
2063,162529.0,20778.0,141751.0,431669.0,10221598.0,8239001.0,1158.0,3479.0,43930513.0,0.0,0.5
2064,137939.0,107188.0,30751.0,314873.0,10289250.0,8287912.0,2302.0,912.0,43933992.0,5888310.0,0.65
2065,405377.0,349890.0,55488.0,263665.0,10308557.0,8318406.0,5520.0,1475.0,43934904.0,21913815.0,0.5
2066,813776.0,629538.0,184238.0,205987.0,10293992.0,8386046.0,12987.0,4347.0,43936379.0,58873107.0,0.8
2067,3682824.0,3430760.0,252064.0,179049.0,10253912.0,8441091.0,44277.0,5922.0,43940726.0,215046814.0,0.35
2068,3341166.0,1628729.0,1712437.0,135751.0,10169565.0,8526397.0,48630.0,39667.0,43946648.0,236443354.0,0.2
2069,2028465.0,18728.0,2009737.0,85850.0,10082588.0,8615975.0,1177.0,46976.0,43986315.0,0.0,0.2
2070,58627.0,26178.0,32449.0,54515.0,10040946.0,8688701.0,1634.0,1137.0,44033291.0,1813862.0,0.5
2071,181664.0,143429.0,38235.0,24746.0,9995282.0,8763540.0,3258.0,1287.0,44034428.0,9533290.0,0.5
2072,339668.0,242907.0,96760.0,19162.0,9922313.0,8839959.0,5498.0,2565.0,44035714.0,21630901.0,0.35
2073,363332.0,172989.0,190343.0,16360.0,9871484.0,8889031.0,5613.0,4926.0,44038280.0,22329351.0,0.2
2074,230444.0,18984.0,211460.0,7625.0,9801180.0,8963402.0,1284.0,5422.0,44043206.0,0.0,0.2
