years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2057,226998.7486480001,85326.4352937421,141672.31335425793,1846543.0,16895461.17922292,10803406.005023537,1342.0,893.1398391980699,1339.7097587971064,8145956.38889271,0.0,0.0,1342.0
2058,205612.08155252953,127358.85218724229,78253.22936528722,1527763.0,17101876.530843142,10915217.505102934,1974.1268092389269,536.8000000000018,805.2000000000006,8147296.098651486,4801002.710190502,3620634.046194674,1250.0
2059,277391.76774396363,156974.27426265416,120417.49348130934,1229209.0,17304792.460964344,11009589.448172515,2451.370104790968,789.6507236955774,1184.4760855433642,8148101.298651475,7295734.3844763525,6056850.523954867,1240.0
2060,500667.2611189903,350502.3115614145,150164.94955757548,846380.0,17571312.3929863,11124154.821825506,5128.552554645314,980.5480419163922,1470.8220628745867,8149285.77473706,23008402.02571062,19382762.773226384,1252.0
2061,412023.9564809186,69668.43099379312,342355.52548712527,626204.0,17679187.807881247,11232024.352731174,1222.0,2051.4210218581143,3077.13153278718,8150756.596799914,0.0,0.0,1222.0
2062,121061.33857967371,58766.78216666447,62294.55641300923,547321.0,17660353.68065368,11329255.479958706,1083.0,488.8000000000018,733.1999999999994,8153833.728332742,0.0,0.0,1083.0
2063,119673.09050136298,68308.27436231941,51364.8161390436,431669.0,17609400.266228527,11495437.894383913,1198.0,433.1999999999984,649.800000000002,8154566.928332742,0.0,0.0,1198.0
2064,128211.1115415373,66134.28901808914,62076.82252344814,314873.0,17616509.59464802,11604617.565964267,1212.0,479.1999999999982,718.8000000000009,8155216.728332742,0.0,0.0,1212.0
2065,128224.4252718616,69244.55714827313,58979.868123588385,263665.0,17591635.417107217,11680250.743505055,1293.0,484.8000000000018,727.1999999999992,8155935.528332711,0.0,0.0,1293.0
2066,164710.9035360251,102890.68106600079,61820.222470024244,205987.0,17516033.965510406,11812976.42317836,1825.3516107620296,517.1999999999982,775.7999999999998,8156662.728332742,2745704.13215233,2126758.0538101797,1400.0
2067,158077.238772659,61680.772851739246,96396.46592091976,179049.0,17417247.39843144,11937722.615850875,1148.0,730.1406443048159,1095.2109664572263,8157438.528332711,0.0,0.0,1148.0
2068,116080.67381065866,60076.32908238005,56004.34472827864,135751.0,17292565.047279723,12105221.967002599,1177.0,459.19999999999834,688.8000000000014,8158533.739299136,0.0,0.0,1177.0
2069,121227.51501431191,67692.62867110925,53534.88634320261,85850.0,17180384.087604553,12266876.926677706,1346.0,470.80000000000166,706.199999999999,8159222.53929919,0.0,0.0,1346.0
2070,127594.0860635364,67442.14719308588,60151.93887045057,54515.0,17084049.409940723,12394023.79320637,1372.0,538.3999999999983,807.6000000000031,8159928.739299136,0.0,0.0,1372.0
2071,191458.24444366663,131806.99105605445,59651.253387612145,24746.0,16982449.466941353,12524814.675846526,2345.366894367438,548.8000000000019,823.2000000000007,8160736.339299197,7419392.9229686055,5216834.471837157,1302.0
2072,189508.33110013604,62177.70322681967,127330.62787331636,19162.0,16827754.60061836,12683548.363305554,1262.0,938.1467577469689,1407.220136620455,8161559.53929919,0.0,0.0,1262.0
2073,109755.03090937667,53573.25596917769,56181.77494019905,16360.0,16703435.7485579,12810167.770333137,1165.0,504.80000000000183,757.1999999999997,8162966.7594358185,0.0,0.0,1165.0
2074,97259.92518649418,50278.05515800454,46981.87002848956,7625.0,16531722.033638487,12990229.485252429,1163.0,466.00000000000006,699.0,8163723.959435775,0.0,0.0,1163.0
2075,117510.04952449577,74701.60634899355,42808.44317550222,2559.0,16362849.446465937,13163803.96239739,1566.6242029460213,465.19999999999834,697.8000000000012,8164422.959435775,1821920.7302158645,1108121.014730087,1345.0
2076,118497.26835196944,49925.71590570388,68571.55244626554,1749.0,16248194.402508726,13278559.38215161,1059.0,626.6496811784049,939.9745217676099,8165120.7594358185,0.0,0.0,1059.0
2077,97056.38894709667,51542.910146594084,45513.478800502475,539.0,16097442.819836149,13430102.044282869,1166.0,423.60000000000053,635.3999999999977,8166060.733957545,0.0,0.0,1166.0
2078,96518.63002410952,50841.33896189895,45677.2910622106,183.0,15942698.836940128,13584811.675545683,1230.0,466.39999999999895,699.6000000000026,8166696.133957604,0.0,0.0,1230.0
2079,98829.17370323319,55147.01264475731,43682.16105847592,0.0,15805889.130645273,13721403.75054307,1286.0,492.0,738.0,8167395.733957545,0.0,0.0,1286.0
2080,98140.881179455,49418.762555423105,48722.11862403188,0.0,15656631.987586062,13870228.578170963,1256.0,514.3999999999985,771.6000000000029,8168133.733957545,0.0,0.0,1256.0
2081,89884.85223752722,47946.37192932762,41938.48030819965,0.0,15558571.422642222,13967925.143115,1150.0,502.3999999999986,753.6000000000028,8168905.333957595,0.0,0.0,1150.0
2082,90856.21247783222,48272.95478222419,42583.25769560797,0.0,15389431.19607543,14136666.369681792,1268.0,460.0,690.0,8169658.933957576,0.0,0.0,1268.0
2083,90610.66779148989,49821.61790236416,40789.049889125774,0.0,15232074.399103675,14293657.166653456,1311.0,507.19999999999817,760.8000000000002,8170348.933957576,0.0,0.0,1311.0
2084,87879.89858361786,45358.82098025238,42521.0776033655,0.0,15018536.549946317,14506795.073278291,1261.0,524.3999999999984,786.6000000000029,8171109.733957545,0.0,0.0,1261.0
2085,82221.10893246619,44592.484622275435,37628.62431019075,0.0,14781797.142982818,14743198.480241787,1158.0,504.3999999999986,756.6000000000028,8171896.333957595,0.0,0.0,1158.0
2086,80311.41825633746,41184.54258837574,39126.875667961736,0.0,14592012.357533768,14932663.446622679,1124.0,463.19999999999834,694.8000000000013,8172652.933957576,0.0,0.0,1124.0
2087,75058.82953597733,39625.36348205776,35433.46605391959,0.0,14395510.038895132,15128831.765416274,1173.0,449.6000000000009,674.3999999999975,8173347.733957545,0.0,0.0,1173.0
2088,74366.72881457221,41725.764474816126,32640.964339756127,0.0,13234792.341381082,16289211.462930243,1251.0,469.19999999999834,703.8000000000012,8174022.133957604,0.0,0.0,1251.0
2089,74211.4870192458,39859.46606108785,34352.02095815795,0.0,12985642.575602043,16538123.228709366,1217.0,500.3999999999986,750.6000000000028,8174725.933957576,0.0,0.0,1217.0
2090,73938.562315397,41208.20222603926,32730.360089357713,0.0,12599944.097586205,16923523.706725128,1221.0,486.8000000000018,730.1999999999994,8175476.533957545,0.0,0.0,1221.0
2091,75345.58927957568,40365.55405226535,34980.035227310356,0.0,12299400.430202689,17223769.37438025,1176.0,488.3999999999988,732.6000000000028,8176206.733957545,0.0,0.0,1176.0
